PTPtime,Timestamp, Frame Number, Version Number, Num Detections, Num Tracks, Host Speed, DSPWorkload, ARMWorkload, Host YawDiff, TrackID, TrackX, TrackY, TrackZ,TrackXdot, TrackYdot, TrackZdot, Flag, Class, Confidence
600051140,1642054732959165,10642,2231021606,507,2,0,59,23,0,1760,0.03,0.3,2.38,0,0,0,2,0,0
600051140,1642054732959165,10642,2231021606,507,2,0,59,23,0,1762,0.13,0.61,5.77,0,0,0,2,0,0
666721640,1642054733026112,10643,2231021606,510,2,0,59,23,0,1760,0.02,0.3,2.38,0,0,0,2,0,0
666721640,1642054733026112,10643,2231021606,510,2,0,59,23,0,1762,0.13,0.61,5.77,0,0,0,2,0,0
733384120,1642054733092343,10644,2231021606,515,2,0,59,23,0,1760,0.02,0.3,2.39,0,0,0,2,0,0
733384120,1642054733092343,10644,2231021606,515,2,0,59,23,0,1762,0.14,0.61,5.77,0,0,0,2,0,0
800044590,1642054733158923,10645,2231021606,514,2,0,59,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
800044590,1642054733158923,10645,2231021606,514,2,0,59,23,0,1762,0.14,0.61,5.78,0,0,0,2,0,0
866734070,1642054733225846,10646,2231021606,504,2,0,58,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
866734070,1642054733225846,10646,2231021606,504,2,0,58,23,0,1762,0.13,0.61,5.78,0,0,0,2,0,0
933388570,1642054733292437,10647,2231021606,502,2,0,59,22,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
933388570,1642054733292437,10647,2231021606,502,2,0,59,22,0,1762,0.13,0.61,5.79,0,0,0,2,0,0
11820,1642054733358626,10648,2231021606,511,2,0,59,22,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
11820,1642054733358626,10648,2231021606,511,2,0,59,22,0,1762,0.12,0.61,5.79,0,0,0,2,0,0
66681300,1642054733425914,10649,2231021606,518,2,0,58,22,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
66681300,1642054733425914,10649,2231021606,518,2,0,58,22,0,1762,0.13,0.6,5.79,0,0,0,2,0,0
133363790,1642054733491867,10650,2231021606,516,2,0,59,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
133363790,1642054733491867,10650,2231021606,516,2,0,59,23,0,1762,0.14,0.61,5.78,0,0,0,2,0,0
200014270,1642054733559328,10651,2231021606,518,2,0,59,23,0,1760,0.02,0.31,2.4,0,0,0,2,0,0
200014270,1642054733559328,10651,2231021606,518,2,0,59,23,0,1762,0.14,0.61,5.79,0,0,0,2,0,0
266712750,1642054733626160,10652,2231021606,529,2,0,58,23,0,1760,0.02,0.31,2.4,0,0,0,2,0,0
266712750,1642054733626160,10652,2231021606,529,2,0,58,23,0,1762,0.15,0.61,5.79,0,0,0,2,0,0
333361230,1642054733692305,10653,2231021606,543,2,0,59,23,0,1760,0.02,0.31,2.4,0,0,0,2,0,0
333361230,1642054733692305,10653,2231021606,543,2,0,59,23,0,1762,0.14,0.6,5.79,0,0,0,2,0,0
400045700,1642054733759219,10654,2231021606,545,2,0,59,23,0,1760,0.02,0.31,2.4,0,0,0,2,0,0
400045700,1642054733759219,10654,2231021606,545,2,0,59,23,0,1762,0.14,0.6,5.79,0,0,0,2,0,0
466687180,1642054733825907,10655,2231021606,542,2,0,58,23,0,1760,0.02,0.31,2.4,0,0,0,2,0,0
466687180,1642054733825907,10655,2231021606,542,2,0,58,23,0,1762,0.13,0.6,5.78,0,0,0,2,0,0
533390670,1642054733892223,10656,2231021606,551,2,0,59,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
533390670,1642054733892223,10656,2231021606,551,2,0,59,23,0,1762,0.14,0.61,5.78,0,0,0,2,0,0
600024150,1642054733959506,10657,2231021606,556,2,0,59,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
600024150,1642054733959506,10657,2231021606,556,2,0,59,23,0,1762,0.14,0.61,5.78,0,0,0,2,0,0
666702650,1642054734026005,10658,2231021606,564,2,0,58,23,0,1760,0.01,0.31,2.39,0,0,0,2,0,0
666702650,1642054734026005,10658,2231021606,564,2,0,58,23,0,1762,0.15,0.6,5.78,0,0,0,2,0,0
733392130,1642054734093070,10659,2231021606,567,2,0,59,23,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
733392130,1642054734093070,10659,2231021606,567,2,0,59,23,0,1762,0.16,0.6,5.78,0,0,0,2,0,0
800059590,1642054734159449,10660,2231021606,571,2,0,59,24,0,1760,0.02,0.31,2.39,0,0,0,2,0,0
800059590,1642054734159449,10660,2231021606,571,2,0,59,24,0,1762,0.16,0.6,5.78,0,0,0,2,0,0
