PTPtime,Timestamp, Frame Number, Version Number, Num Detections, Num Tracks, Host Speed, DSPWorkload, ARMWorkload, Host YawDiff, TrackID, TrackX, TrackY, TrackZ,TrackXdot, TrackYdot, TrackZdot, Flag, Class, Confidence
66707300,1642054654427476,9464,2231021606,433,3,0,58,22,0,1760,0.23,0.26,2.44,0,0,0,2,0,0
66707300,1642054654427476,9464,2231021606,433,3,0,58,22,0,1762,0.09,0.6,5.83,0,0,0,2,0,0
66707300,1642054654427476,9464,2231021606,433,3,0,58,22,0,2424,1.48,0.85,7.63,0,0,0,2,0,0
133369790,1642054654493561,9465,2231021606,435,3,0,59,22,0,1760,0.23,0.26,2.43,0,0,0,2,0,0
133369790,1642054654493561,9465,2231021606,435,3,0,59,22,0,1762,0.09,0.59,5.83,0,0,0,2,0,0
133369790,1642054654493561,9465,2231021606,435,3,0,59,22,0,2424,1.39,0.86,7.65,0,0,0,2,0,0
200041270,1642054654560944,9466,2231021606,437,3,0,58,22,0,1760,0.23,0.26,2.43,0,0,0,2,0,0
200041270,1642054654560944,9466,2231021606,437,3,0,58,22,0,1762,0.07,0.59,5.83,0,0,0,2,0,0
200041270,1642054654560944,9466,2231021606,437,3,0,58,22,0,2424,1.46,0.84,7.65,0,0,0,2,0,0
266710740,1642054654627290,9467,2231021606,441,3,0,58,22,0,1760,0.23,0.26,2.43,0,0,0,2,0,0
266710740,1642054654627290,9467,2231021606,441,3,0,58,22,0,1762,0.07,0.59,5.83,0,0,0,2,0,0
266710740,1642054654627290,9467,2231021606,441,3,0,58,22,0,2424,1.57,0.87,7.57,0,0,0,2,0,0
333361220,1642054654693782,9468,2231021606,451,3,0,59,21,0,1760,0.23,0.27,2.43,0,0,0,2,0,0
333361220,1642054654693782,9468,2231021606,451,3,0,59,21,0,1762,0.07,0.59,5.83,0,0,0,2,0,0
333361220,1642054654693782,9468,2231021606,451,3,0,59,21,0,2424,1.24,0.86,7.59,0,0,0,2,0,0
400027700,1642054654761000,9469,2231021606,461,3,0,58,22,0,1760,0.23,0.27,2.43,0,0,0,2,0,0
400027700,1642054654761000,9469,2231021606,461,3,0,58,22,0,1762,0.07,0.59,5.83,0,0,0,2,0,0
400027700,1642054654761000,9469,2231021606,461,3,0,58,22,0,2424,1.24,0.86,7.59,0,0,0,2,0,0
466718200,1642054654827816,9470,2231021606,464,3,0,58,22,0,1760,0.22,0.27,2.43,0,0,0,2,0,0
466718200,1642054654827816,9470,2231021606,464,3,0,58,22,0,1762,0.07,0.59,5.83,0,0,0,2,0,0
466718200,1642054654827816,9470,2231021606,464,3,0,58,22,0,2424,1.52,0.85,7.54,0,0,0,2,0,0
533386750,1642054654894363,9471,2231021606,454,3,0,59,22,0,1760,0.22,0.27,2.42,0,0,0,2,0,0
533386750,1642054654894363,9471,2231021606,454,3,0,59,22,0,1762,0.05,0.59,5.83,0,0,0,2,0,0
533386750,1642054654894363,9471,2231021606,454,3,0,59,22,0,2424,1.6,0.84,7.54,0,0,0,2,0,0
